"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
1,"1","2023-12-05T08:11:38.645892Z",1,"/data/upload/1/d8770d74-cat1img1.png","[{""x"":46.66339548577036,""y"":52.01177625122669,""width"":18.91560353287536,""height"":5.299313052011783,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",20.369,"2023-12-05T08:11:38.645908Z"
2,"1","2023-12-05T08:12:18.672848Z",2,"/data/upload/1/72309e9d-cat1img2.png","[{""x"":52.47791952894995,""y"":51.71736997055937,""width"":23.405299313052005,""height"":6.378802747791958,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",35.887,"2023-12-05T08:12:18.672864Z"
3,"1","2023-12-05T08:12:33.721040Z",3,"/data/upload/1/c6cb207e-cat1img3.png","[{""x"":35.77036310107949,""y"":58.39057899901865,""width"":25.245338567222767,""height"":7.26202158979391,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",11.286,"2023-12-05T08:12:33.721055Z"
4,"1","2023-12-05T08:13:05.066982Z",4,"/data/upload/1/833fa132-cat1img4.png","[{""x"":40.84887144259077,""y"":35.426889106967614,""width"":25.686947988223757,""height"":7.850834151128559,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",11.294,"2023-12-05T08:13:05.067000Z"
5,"1","2023-12-05T08:14:50.056779Z",5,"/data/upload/1/0e7040fd-cat1img5.png","[{""x"":45.7801766437684,""y"":68.40039254170756,""width"":22.595682041216875,""height"":6.575073601570168,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",51.89,"2023-12-05T08:14:50.056816Z"
6,"1","2023-12-05T08:15:19.246043Z",6,"/data/upload/1/c5200f75-cat1img6.png","[{""x"":52.68456375838926,""y"":45.86129753914989,""width"":25.503355704697995,""height"":10.514541387024607,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",29.064,"2023-12-05T08:15:19.246061Z"
7,"1","2023-12-05T08:15:28.129167Z",7,"/data/upload/1/71e6166f-cat1img7.png","[{""x"":31.711409395973156,""y"":67.4496644295302,""width"":38.33892617449664,""height"":9.8434004474273,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",8.756,"2023-12-05T08:15:28.129184Z"
8,"1","2023-12-05T08:15:48.227742Z",8,"/data/upload/1/e07dbe59-cat1img8.png","[{""x"":27.768456375838923,""y"":49.328859060402685,""width"":27.600671140939603,""height"":19.463087248322147,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",19.977,"2023-12-05T08:15:48.227760Z"
9,"1","2023-12-05T08:15:58.842786Z",9,"/data/upload/1/c64b974c-cat1img9.png","[{""x"":44.37919463087248,""y"":51.67785234899329,""width"":22.399328859060397,""height"":6.2639821029082725,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",10.483,"2023-12-05T08:15:58.842807Z"
10,"1","2023-12-05T08:16:23.309313Z",10,"/data/upload/1/a812e583-cat1img10.png","[{""x"":40.43624161073826,""y"":69.01565995525726,""width"":41.107382550335565,""height"":14.65324384787472,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",24.346,"2023-12-05T08:16:23.309330Z"
11,"1","2023-12-05T08:16:45.554055Z",11,"/data/upload/1/d2c5a4c4-cat1img11.png","[{""x"":8.13758389261745,""y"":63.87024608501118,""width"":88.17114093959731,""height"":27.628635346756163,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",22.114,"2023-12-05T08:16:45.554073Z"
12,"1","2023-12-05T08:16:52.760285Z",12,"/data/upload/1/cec9e3dc-cat1img12.png","[{""x"":38.92617449664429,""y"":66.66666666666666,""width"":26.34228187919463,""height"":14.765100671140942,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",7.07,"2023-12-05T08:16:52.760303Z"
13,"1","2023-12-05T08:16:59.177911Z",13,"/data/upload/1/75ca9599-cat1img13.png","[{""x"":36.577181208053695,""y"":82.21476510067114,""width"":30.704697986577166,""height"":8.612975391498878,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",6.301,"2023-12-05T08:16:59.177933Z"
14,"1","2023-12-05T08:17:18.971961Z",14,"/data/upload/1/fb534b2a-cat1img14.png","[{""x"":34.56375838926174,""y"":46.644295302013425,""width"":20.13422818791947,""height"":7.718120805369125,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",19.677,"2023-12-05T08:17:18.971979Z"
15,"1","2023-12-05T08:17:29.022766Z",15,"/data/upload/1/7e93339c-cat1img15.png","[{""x"":40.01677852348993,""y"":64.5413870246085,""width"":20.050335570469798,""height"":6.599552572706941,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",9.926,"2023-12-05T08:17:29.022794Z"
16,"1","2023-12-05T08:17:37.505841Z",16,"/data/upload/1/9cc5f91a-cat1img16.png","[{""x"":40.35234899328859,""y"":42.84116331096197,""width"":37.08053691275168,""height"":14.429530201342281,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",8.369,"2023-12-05T08:17:37.505859Z"
17,"1","2023-12-05T08:17:49.101010Z",17,"/data/upload/1/b7c36e8a-cat2img1.png","[{""x"":15.939597315436242,""y"":50,""width"":35.822147651006716,""height"":12.304250559284114,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",11.464,"2023-12-05T08:17:49.101027Z"
18,"1","2023-12-05T08:18:04.403090Z",18,"/data/upload/1/9f8d7706-cat2img2.png","[{""x"":29.36241610738255,""y"":58.61297539149888,""width"":28.942953020134233,""height"":14.09395973154362,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",15.176,"2023-12-05T08:18:04.403110Z"
